time,y,x,mass,size,ecc,signal,raw_mass,ep,particle,category
1,522.141,504.533,55.235,2326,0.701,589.477,91.596,0.084,16,wt
2,511.535,512.106,50.42100000000001,1848,0.693,518.365,90.941,0.086,16,wt
3,537.814,499.63300000000004,60.803000000000004,1891,0.7659999999999999,392.784,68.482,0.154,16,wt
4,565.576,471.176,35.242,2659,0.718,571.235,96.977,0.102,16,wt
5,562.4490000000001,474.649,31.759,2646,0.759,584.8330000000001,90.38799999999999,0.09699999999999999,16,wt
6,545.658,496.63,62.063,2228,0.7559999999999999,490.566,65.81,0.11599999999999999,16,wt
7,505.57300000000004,525.961,58.768,1630,0.687,498.32300000000004,102.35799999999999,0.08199999999999999,16,wt
8,489.86199999999997,533.081,58.69,1578,0.635,471.352,94.242,0.08900000000000001,16,wt
9,504.93800000000005,526.443,62.301,1944,0.6779999999999999,453.897,72.503,0.11900000000000001,16,wt
10,551.49,486.527,44.333999999999996,1918,0.6679999999999999,509.495,115.536,0.09300000000000001,16,wt
11,567.814,468.435,41.785,2590,0.631,720.171,104.37200000000001,0.063,16,wt
12,543.7280000000001,493.64099999999996,49.028,2312,0.7,613.1759999999999,90.28,0.077,16,wt
13,499.041,526.257,59.4,2097,0.6729999999999999,599.762,91.344,0.073,16,wt
14,506.281,523.055,61.28,1768,0.715,447.69599999999997,72.634,0.111,16,wt
15,532.21,505.126,54.86600000000001,1791,0.7340000000000001,421.16900000000004,85.553,0.127,16,wt
16,568.456,472.902,41.361999999999995,2634,0.705,644.431,109.40700000000001,0.08,16,wt
17,568.087,471.425,50.826,2551,0.753,544.264,98.443,0.10800000000000001,16,wt
18,547.672,489.56199999999995,49.763999999999996,2289,0.733,485.93800000000005,76.32600000000001,0.122,16,wt
19,498.88599999999997,519.372,69.38600000000001,1779,0.6629999999999999,544.607,104.068,0.075,16,wt
20,511.87300000000005,514.5409999999999,65.556,2248,0.7390000000000001,552.992,92.865,0.092,16,wt
21,531.922,501.81,60.945,2025,0.7190000000000001,508.32300000000004,65.979,0.098,16,wt
22,548.414,488.458,52.696000000000005,2281,0.6890000000000001,648.632,95.259,0.068,16,wt
23,573.364,461.223,41.711000000000006,2447,0.6940000000000001,691.7860000000001,108.57600000000001,0.064,16,wt
24,555.174,479.765,57.995,2091,0.718,468.767,72.622,0.12,16,wt
25,505.194,511.95,63.012,2062,0.664,565.619,109.37899999999999,0.081,16,wt
26,489.259,518.427,69.661,2099,0.588,623.075,97.125,0.068,16,wt
27,519.646,505.815,62.571000000000005,2011,0.6679999999999999,521.294,72.972,0.09300000000000001,16,wt
28,566.134,465.898,47.372,2483,0.7,624.732,110.478,0.08,16,wt
29,575.621,453.866,40.914,2392,0.642,654.087,103.811,0.07,16,wt
30,570.685,461.69800000000004,54.265,2203,0.675,531.98,79.946,0.098,16,wt
31,534.675,496.651,50.273999999999994,2057,0.7709999999999999,468.181,88.243,0.11800000000000001,16,wt
32,483.29699999999997,522.119,68.305,1792,0.654,492.666,80.082,0.09300000000000001,16,wt
33,482.311,519.5880000000001,74.141,1827,0.691,480.423,70.444,0.099,16,wt
34,513.635,507.478,70.46300000000001,1868,0.619,562.891,82.68700000000001,0.07400000000000001,16,wt
35,566.018,477.31199999999995,53.781000000000006,1825,0.727,445.06800000000004,81.73899999999999,0.11599999999999999,16,wt
36,566.13,474.56699999999995,52.284,2110,0.745,440.24,81.694,0.13699999999999998,16,wt
37,555.415,482.039,56.056000000000004,1483,0.7509999999999999,315.63,53.06100000000001,0.187,16,wt
38,509.852,510.305,62.216,1970,0.667,530.365,92.48299999999999,0.08800000000000001,16,wt
39,500.426,515.174,65.65899999999999,1993,0.743,493.93800000000005,83.206,0.10300000000000001,16,wt
40,521.441,502.455,66.125,1671,0.746,387.026,56.593999999999994,0.14,16,wt
41,529.784,499.39099999999996,60.479,1914,0.71,541.9209999999999,85.9,0.08199999999999999,16,wt
42,531.361,499.852,61.699,1913,0.71,449.21,81.915,0.11900000000000001,16,wt
43,534.107,497.404,61.821000000000005,2015,0.713,521.637,85.501,0.09300000000000001,16,wt
44,541.8009999999999,490.48199999999997,59.982,2051,0.6940000000000001,547.578,90.743,0.086,16,wt
45,539.876,490.147,57.7,1997,0.662,531.193,89.515,0.08900000000000001,16,wt
46,559.29,475.18,56.908,2004,0.682,620.389,96.719,0.065,16,wt
47,562.714,472.58,57.653,2050,0.701,578.205,94.074,0.077,16,wt
48,550.3240000000001,481.664,50.806999999999995,1894,0.7020000000000001,483.009,69.35300000000001,0.102,16,wt
49,527.264,498.81699999999995,55.376000000000005,1757,0.662,490.666,90.311,0.092,16,wt
50,503.462,500.256,83.199,1755,0.57,571.377,91.41,0.068,16,wt
51,500.111,501.24,71.75399999999999,1582,0.609,474.38199999999995,87.693,0.08800000000000001,16,wt
52,525.13,496.962,66.501,1647,0.7440000000000001,375.12699999999995,67.368,0.147,16,wt
53,560.817,473.741,50.599,2019,0.653,625.1759999999999,103.76299999999999,0.065,16,wt
54,576.332,455.98800000000006,42.06399999999999,2345,0.667,627.561,101.572,0.075,16,wt
55,577.725,455.04699999999997,48.318000000000005,1856,0.682,518.507,86.96,0.087,16,wt
56,561.275,467.333,50.193999999999996,1979,0.723,460.86699999999996,65.538,0.11699999999999999,16,wt
57,536.183,490.781,53.016999999999996,1915,0.708,548.649,92.876,0.08,16,wt
58,499.115,503.704,75.038,1812,0.597,598.004,93.596,0.064,16,wt
59,507.833,501.866,70.684,1804,0.6759999999999999,491.394,89.59100000000001,0.094,16,wt
60,528.408,495.24800000000005,65.96600000000001,1754,0.721,451.55300000000005,71.661,0.10800000000000001,16,wt
61,535.828,492.154,53.13,1657,0.7709999999999999,374.6,64.925,0.14800000000000002,16,wt
62,549.768,477.52,49.538000000000004,1894,0.746,440.86699999999996,80.92699999999999,0.122,16,wt
63,568.3919999999999,456.39,38.758,2098,0.723,515.737,82.0,0.099,16,wt
64,573.55,451.75,37.376,2145,0.74,433.411,79.64399999999999,0.14300000000000002,16,wt
65,560.432,465.848,43.958,1849,0.743,469.352,63.738,0.105,16,wt
66,542.56,481.561,49.053999999999995,1756,0.7190000000000001,460.181,75.29899999999999,0.10400000000000001,16,wt
67,516.4490000000001,496.86,65.045,1759,0.6629999999999999,599.034,96.185,0.062,16,wt
68,495.30800000000005,505.755,69.03399999999999,1735,0.619,548.063,96.759,0.073,16,wt
69,501.958,505.707,68.443,1360,0.657,408.541,72.399,0.102,16,wt
70,527.3380000000001,494.01300000000003,55.923,1875,0.743,449.45300000000003,74.905,0.11699999999999999,16,wt
71,553.231,475.454,54.395,1981,0.69,508.12199999999996,91.34899999999999,0.096,16,wt
72,564.502,466.088,51.159,1978,0.6920000000000001,528.95,90.679,0.08900000000000001,16,wt
73,564.7769999999999,467.413,61.653999999999996,2001,0.7140000000000001,486.222,81.795,0.106,16,wt
