frame,y,x,minor,area,convexity,perimeter,major,circularity,frame,particle,label
1,501.983,503.81800000000004,23.715999999999998,869,0.736,278.274,46.653,0.141,1,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
2,498.444,504.64,24.428,815,0.775,204.049,42.48,0.24600000000000002,2,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
3,495.506,505.86800000000005,20.555,691,0.6729999999999999,227.605,42.803000000000004,0.168,3,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
4,486.587,507.897,24.12,801,0.782,203.463,42.283,0.243,4,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
5,464.724,513.648,25.528000000000002,809,0.762,212.291,40.349000000000004,0.226,5,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
6,467.36,512.247,28.101999999999997,921,0.767,242.576,41.728,0.19699999999999998,6,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
7,472.775,509.29400000000004,25.934,670,0.769,185.078,32.893,0.24600000000000002,7,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
8,498.648,505.816,21.373,709,0.767,204.635,42.236999999999995,0.213,8,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
9,508.459,505.202,23.329,1087,0.722,274.86,59.327,0.18100000000000002,9,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
10,498.907,506.344,27.096,1045,0.789,239.262,49.105,0.22899999999999998,10,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
11,471.93300000000005,509.93300000000005,20.840999999999998,656,0.746,197.563,40.076,0.21100000000000002,11,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
12,464.25199999999995,508.676,26.127,1033,0.763,240.576,50.34,0.22399999999999998,12,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
13,485.695,506.773,24.046,839,0.728,217.463,44.426,0.223,13,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
14,524.48,515.256,22.971,1065,0.723,330.115,59.031000000000006,0.12300000000000001,14,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
15,523.007,513.181,29.499000000000002,1491,0.785,342.94300000000004,64.355,0.159,15,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
16,499.11699999999996,506.836,23.756,899,0.768,232.19099999999997,48.183,0.21,16,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
17,437.582,513.482,19.396,732,0.7070000000000001,261.404,48.051,0.135,17,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
18,439.369,511.841,26.866,1232,0.755,317.973,58.387,0.153,18,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
19,461.714,509.365,26.557,1227,0.716,341.772,58.828,0.132,19,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
20,514.469,511.82199999999995,24.353,1600,0.7440000000000001,376.985,83.65100000000001,0.141,20,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
21,500.365,508.163,33.509,1530,0.782,323.73,58.135,0.183,21,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
22,445.017,509.23,21.046999999999997,1202,0.696,340.115,72.714,0.131,22,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
23,444.277,507.519,29.101,1336,0.784,313.73,58.45399999999999,0.171,23,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
24,494.025,502.043,21.864,1532,0.757,382.985,89.214,0.131,24,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
25,529.411,512.734,27.783,1800,0.722,434.624,82.49,0.12,25,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
26,502.19,505.58099999999996,27.759,1286,0.8029999999999999,247.99,58.986000000000004,0.263,26,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
27,497.537,504.86,28.362,1332,0.8079999999999999,279.44599999999997,59.797,0.214,27,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
28,530.434,513.981,28.11,1884,0.745,431.06800000000004,85.336,0.127,28,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
29,532.148,516.545,25.666,1538,0.764,344.94300000000004,76.298,0.162,29,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
30,518.75,513.429,32.196,1424,0.8290000000000001,225.362,56.313,0.35200000000000004,30,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
31,438.26300000000003,512.319,21.070999999999998,1381,0.708,394.29900000000004,83.45,0.11199999999999999,31,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
32,419.042,527.143,26.064,1505,0.7240000000000001,337.772,73.51899999999999,0.166,32,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
33,447.085,504.676,29.541999999999998,1428,0.755,362.25699999999995,61.54600000000001,0.13699999999999998,33,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
34,526.076,508.844,28.739,1916,0.759,448.524,84.887,0.12,34,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
35,533.434,514.774,31.109,1689,0.763,342.115,69.128,0.18100000000000002,35,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
36,491.347,504.281,25.905,1778,0.723,420.24,87.38799999999999,0.127,36,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
37,453.915,509.361,25.253,1709,0.743,417.855,86.165,0.12300000000000001,37,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
38,489.534,503.494,29.342,1437,0.816,286.759,62.356,0.22,38,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
39,504.065,507.36300000000006,31.643,1557,0.769,313.973,62.65,0.198,39,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
40,473.70300000000003,500.001,25.316999999999997,1787,0.7490000000000001,435.654,89.87299999999999,0.11800000000000001,40,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
41,440.534,508.298,25.193,1661,0.764,408.098,83.946,0.125,41,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
42,438.585,509.735,26.158,1619,0.773,346.5,78.804,0.16899999999999998,42,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
43,472.495,503.08099999999996,26.412,1758,0.735,408.68300000000005,84.749,0.132,43,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
44,480.975,503.43699999999995,25.424,1531,0.81,300.659,76.67399999999999,0.213,44,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
45,483.37300000000005,505.908,27.162,1521,0.8029999999999999,292.032,71.298,0.22399999999999998,45,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
46,442.20599999999996,504.999,27.184,1636,0.732,356.014,76.628,0.162,46,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
47,424.064,510.852,28.665,1672,0.755,391.81300000000005,74.266,0.13699999999999998,47,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
48,441.344,504.495,32.218,1369,0.795,264.718,54.102,0.245,48,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
49,512.9209999999999,499.889,23.639,1708,0.735,398.19800000000004,91.995,0.135,49,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
50,494.546,502.369,24.921999999999997,1311,0.7959999999999999,310.316,66.977,0.171,50,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
51,453.09,500.82800000000003,22.944000000000003,1550,0.78,321.58799999999997,86.016,0.188,51,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
52,431.329,516.155,26.753,1694,0.7020000000000001,420.441,80.62,0.12,52,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
53,441.06300000000005,507.344,26.735,1016,0.8109999999999999,238.919,48.387,0.22399999999999998,53,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
54,509.335,502.08099999999996,23.245,1738,0.731,406.884,95.197,0.132,54,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
55,523.7330000000001,504.664,26.335,1782,0.7709999999999999,376.541,86.155,0.158,55,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
56,500.214,503.38800000000003,24.177,1049,0.797,231.12,55.245,0.247,56,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
57,500.349,504.595,24.533,1052,0.815,248.718,54.598,0.214,57,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
58,523.061,509.661,28.225,1745,0.7659999999999999,381.227,78.719,0.151,58,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
59,508.083,504.8,27.948,1102,0.862,172.593,50.20399999999999,0.465,59,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
60,465.13599999999997,498.973,26.737,1792,0.7509999999999999,425.51199999999994,85.337,0.124,60,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
61,490.63599999999997,500.82599999999996,25.717,1097,0.835,232.19099999999997,54.313,0.256,61,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
62,501.069,501.089,25.133000000000003,1147,0.82,247.06099999999998,58.107,0.23600000000000002,62,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
63,483.876,499.76300000000003,23.996,1246,0.78,279.688,66.11399999999999,0.2,63,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
64,423.829,513.011,25.253,1618,0.728,359.085,81.578,0.158,64,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
65,434.709,507.061,31.47,1631,0.759,350.94300000000004,65.98899999999999,0.166,65,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
66,484.009,498.941,25.965,1840,0.765,423.16900000000004,90.228,0.129,66,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
67,506.534,499.80800000000005,24.342,1629,0.779,357.914,85.205,0.16,67,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
68,492.334,500.912,23.355,1092,0.82,232.919,59.532,0.253,68,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
