frame,y,x,minor,area,convexity,perimeter,major,circularity,frame,particle
1,480.88699999999994,428.892,38.266999999999996,2479,0.748,418.825,82.48200000000001,0.17800000000000002,1,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
2,524.818,459.788,31.329,2299,0.758,476.909,93.435,0.127,2,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
3,568.323,540.048,25.141,2146,0.546,603.762,108.681,0.07400000000000001,3,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
4,569.476,542.922,28.689,2132,0.648,477.55300000000005,94.618,0.11699999999999999,4,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
5,568.778,546.5830000000001,28.394000000000002,1957,0.618,471.009,87.75399999999999,0.111,5,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
6,569.668,536.6569999999999,28.94,1826,0.7759999999999999,345.286,80.336,0.192,6,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
7,555.0169999999999,503.30400000000003,25.337,2224,0.698,499.98,111.759,0.11199999999999999,7,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
8,546.4490000000001,493.629,30.99,1419,0.797,287.103,58.3,0.21600000000000003,8,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
9,564.259,535.217,22.787,1716,0.731,455.311,95.884,0.10400000000000001,9,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
10,558.467,518.719,31.377,1917,0.752,398.784,77.79,0.151,10,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
11,541.703,472.565,23.875,2045,0.735,493.051,109.057,0.106,11,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
12,526.105,453.602,26.093000000000004,2423,0.657,586.933,118.235,0.08800000000000001,12,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
13,528.628,456.20300000000003,27.537,1796,0.76,386.642,83.04299999999999,0.151,13,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
14,568.571,522.479,25.651999999999997,2252,0.728,552.992,111.777,0.09300000000000001,14,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
16,574.2959999999999,524.1569999999999,26.521,1517,0.758,319.83099999999996,72.83,0.18600000000000003,16,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
17,536.234,456.37800000000004,25.482,1218,0.7809999999999999,268.032,60.858999999999995,0.213,17,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
18,509.126,434.767,27.98,1736,0.745,387.955,78.998,0.145,18,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
19,532.057,455.04900000000004,26.046,1777,0.745,428.098,86.866,0.122,19,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
20,577.812,535.85,21.750999999999998,1713,0.659,473.73699999999997,100.273,0.096,20,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
21,573.509,525.285,23.018,1906,0.7040000000000001,451.06800000000004,105.43299999999999,0.11800000000000001,21,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
22,550.511,486.208,26.519000000000002,1654,0.752,370.399,79.41199999999999,0.151,22,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
23,532.61,458.705,23.144000000000002,1935,0.6409999999999999,502.566,106.45299999999999,0.096,23,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
24,535.812,463.779,25.541999999999998,2030,0.738,474.423,101.195,0.113,24,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
25,556.789,493.965,29.101,1485,0.773,302.801,64.972,0.204,25,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
26,564.929,512.444,23.011,1809,0.7490000000000001,397.37,100.095,0.14400000000000002,26,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
27,566.424,519.827,23.263,1822,0.63,468.38199999999995,99.72200000000001,0.10400000000000001,27,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
28,563.158,512.131,29.153000000000002,1504,0.774,337.772,65.686,0.166,28,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
