frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame.1,particle,category,label
1,914.002,564.057,33.69,1136,0.718,362.642,40.435,0.109,1,4,wt,_none_
2,915.756,564.3530000000002,67.166,903,0.795,190.492,36.046,0.313,2,4,wt,_none_
3,916.015,561.469,42.184,883,0.78,226.777,36.599,0.21600000000000005,3,4,wt,_none_
4,917.983,560.489,32.125,1117,0.7140000000000001,314.1740000000001,39.31800000000001,0.142,4,4,wt,_none_
5,916.594,561.205,93.576,1135,0.7659999999999999,309.245,41.153,0.149,5,4,wt,_none_
6,916.067,560.578,16.113,1090,0.73,279.446,39.512,0.175,6,4,wt,_none_
7,917.037,560.986,71.99600000000002,887,0.7909999999999999,230.191,36.882,0.21,7,4,wt,_none_
8,920.103,558.835,129.806,819,0.774,231.848,33.988,0.191,8,4,wt,_none_
9,922.046,556.5980000000002,29.291,1107,0.748,315.0440000000001,40.137,0.14,9,4,wt,_none_
10,920.374,557.297,69.146,928,0.763,238.919,40.13800000000001,0.204,10,4,wt,_none_
11,921.459,556.276,39.958,1092,0.753,291.345,40.889,0.162,11,4,wt,_none_
12,919.913,556.453,72.3,1081,0.701,330.215,41.195,0.125,12,4,wt,_none_
13,923.612,553.715,66.161,1072,0.731,296.96,38.953,0.153,13,4,wt,_none_
14,925.945,552.3240000000002,57.848,809,0.7809999999999999,205.706,33.318000000000005,0.24,14,4,wt,_none_
15,924.585,552.94,22.834,899,0.802,200.392,36.261,0.281,15,4,wt,_none_
16,923.982,552.8580000000002,17.7,1134,0.737,306.073,41.229,0.152,16,4,wt,_none_
17,924.076,551.033,28.811,1091,0.74,308.659,39.119,0.14400000000000002,17,4,wt,_none_
18,923.955,551.279,22.249,979,0.6940000000000001,286.274,36.931,0.15,18,4,wt,_none_
19,924.901,552.569,16.46,880,0.722,252.818,36.598,0.173,19,4,wt,_none_
20,925.963,550.23,28.706,1007,0.759,240.919,38.486,0.218,20,4,wt,_none_
21,926.271,549.307,32.661,1057,0.7290000000000001,280.17400000000004,39.504,0.16899999999999998,21,4,wt,_none_
22,924.604,551.18,37.349,1050,0.7490000000000001,287.588,40.126,0.16,22,4,wt,_none_
23,924.524,550.054,17.281,1016,0.7390000000000001,285.831,37.466,0.156,23,4,wt,_none_
24,924.583,551.321,33.69,1074,0.731,268.475,40.807,0.187,24,4,wt,_none_
25,925.701,550.195,15.945,1112,0.732,298.1740000000001,42.127,0.157,25,4,wt,_none_
26,926.122,549.009,37.117,1033,0.731,277.789,37.949,0.168,26,4,wt,_none_
27,927.878,547.878,25.408,966,0.75,272.375,37.901,0.16399999999999998,27,4,wt,_none_
28,925.701,547.764,6.483,979,0.748,258.333,37.586,0.184,28,4,wt,_none_
29,925.409,547.268,125.538,947,0.746,259.404,36.365,0.177,29,4,wt,_none_
30,925.594,548.379,168.69,1024,0.789,229.019,41.232,0.245,30,4,wt,_none_
31,927.648,546.966,8.842,988,0.7509999999999999,245.99,37.058,0.205,31,4,wt,_none_
32,928.584,545.299,169.695,954,0.735,305.245,36.856,0.129,32,4,wt,_none_
33,927.386,546.875,16.113,1033,0.762,281.203,41.081,0.16399999999999998,33,4,wt,_none_
34,927.591,545.529,10.539,982,0.7340000000000001,307.63,36.539,0.13,34,4,wt,_none_
35,927.643,545.524,33.69,1032,0.748,285.931,40.332,0.159,35,4,wt,_none_
36,929.69,543.939,15.945,999,0.799,222.877,37.611,0.253,36,4,wt,_none_
37,931.013,542.6619999999998,162.408,870,0.747,247.647,35.402,0.17800000000000002,37,4,wt,_none_
38,930.126,544.376,21.801,1109,0.768,305.245,41.648,0.15,38,4,wt,_none_
39,929.757,542.403,34.046,1023,0.721,304.517,37.91,0.139,39,4,wt,_none_
40,927.85,542.624,40.601,985,0.743,288.517,39.389,0.149,40,4,wt,_none_
41,929.004,541.847,36.87,1030,0.7190000000000001,304.902,39.254,0.139,41,4,wt,_none_
42,931.095,541.922,16.46,981,0.713,274.96,37.227,0.163,42,4,wt,_none_
43,931.403,541.487,142.352,1018,0.737,296.416,37.751,0.146,43,4,wt,_none_
44,929.73,541.734,24.444000000000006,1098,0.743,289.002,41.093,0.165,44,4,wt,_none_
45,931.546,541.61,37.648,918,0.746,242.333,36.049,0.196,45,4,wt,_none_
46,927.856,542.126,36.119,979,0.774,245.262,38.526,0.205,46,4,wt,_none_
47,930.424,543.216,12.529000000000002,965,0.733,287.588,38.686,0.147,47,4,wt,_none_
48,929.488,544.304,176.34799999999996,991,0.731,268.617,38.44,0.173,48,4,wt,_none_
49,929.267,541.9580000000002,37.648,971,0.782,260.818,37.196,0.179,49,4,wt,_none_
50,928.996,542.3919999999998,170.96099999999996,915,0.7340000000000001,273.789,36.378,0.153,50,4,wt,_none_
51,929.184,541.928,10.84,980,0.742,249.061,38.765,0.199,51,4,wt,_none_
52,928.719,543.778,16.820999999999998,947,0.76,233.019,38.979,0.219,52,4,wt,_none_
53,930.42,542.129,30.735,953,0.738,266.617,36.464,0.168,53,4,wt,_none_
54,932.039,542.067,137.726,921,0.7290000000000001,292.274,35.205,0.135,54,4,wt,_none_
55,930.206,543.229,165.61900000000003,826,0.7859999999999999,201.563,35.407,0.255,55,4,wt,_none_
56,930.55,542.548,51.147,1032,0.7440000000000001,254.132,38.714,0.201,56,4,wt,_none_
57,932.346,542.0980000000002,20.095,957,0.71,295.245,35.636,0.138,57,4,wt,_none_
58,931.057,541.0169999999998,146.659,917,0.7170000000000001,266.375,37.008,0.162,58,4,wt,_none_
59,932.131,539.7909999999998,162.408,915,0.737,263.30400000000003,35.488,0.166,59,4,wt,_none_
60,932.332,539.837,117.15,924,0.73,309.144,35.539,0.121,60,4,wt,_none_
61,933.249,541.386,165.65099999999995,942,0.738,256.375,36.676,0.18,61,4,wt,_none_
62,933.953,540.312,116.565,948,0.772,250.233,36.235,0.19,62,4,wt,_none_
63,934.234,539.808,21.801,930,0.745,255.647,35.881,0.179,63,4,wt,_none_
64,934.131,540.202,156.44799999999995,925,0.7440000000000001,270.517,36.183,0.159,64,4,wt,_none_
65,932.147,538.389,144.46200000000005,914,0.763,236.576,36.066,0.205,65,4,wt,normal;
66,933.279,538.362,126.327,884,0.738,277.203,35.574,0.145,66,4,wt,normal;
67,932.718,540.997,28.217,972,0.733,270.132,39.065,0.16699999999999998,67,4,wt,_none_
68,934.395,541.106,41.309,983,0.8059999999999999,226.392,37.13,0.241,68,4,wt,_none_
69,933.675,541.553,19.29,833,0.758,212.049,34.846,0.233,69,4,wt,_none_
70,934.283,538.4259999999998,33.341,999,0.76,244.09,38.961,0.211,70,4,wt,normal;
71,934.485,539.004,118.926,950,0.736,309.002,36.429,0.125,71,4,wt,normal;
72,931.558,540.248,96.789,919,0.747,238.676,34.522,0.203,72,4,wt,_none_
73,934.304,538.231,69.444,915,0.757,259.747,35.137,0.17,73,4,wt,normal;
74,934.68,536.868,45.0,952,0.75,261.404,35.73699999999999,0.175,74,4,wt,normal;
75,934.219,537.305,8.842,998,0.732,296.759,38.928,0.142,75,4,wt,normal;
76,935.638,537.352,178.56799999999996,770,0.76,209.706,32.968,0.22,76,4,wt,normal;
77,936.734,537.0219999999998,34.114000000000004,718,0.7759999999999999,206.534,32.09,0.212,77,4,wt,normal;
