time,y,x,mass,size,ecc,signal,raw_mass,ep,category,particle,label
1,11.917,603.9159999999998,12.68,726,0.804,178.208,35.16,0.287,wt,0,_none_
2,11.839,602.273,16.314,722,0.787,188.593,35.53800000000001,0.255,wt,0,_none_
3,12.428,604.525,14.036,723,0.81,181.865,34.175,0.275,wt,0,_none_
4,12.636,603.565,149.931,758,0.779,181.179,35.013000000000005,0.29,wt,0,_none_
5,13.484000000000002,602.7130000000002,153.435,759,0.8290000000000001,153.48,33.398,0.405,wt,0,_none_
6,13.98,600.8330000000002,160.346,825,0.7759999999999999,196.35,35.574,0.269,wt,0,_none_
7,14.487,600.543,145.561,852,0.7929999999999999,213.321,35.905,0.235,wt,0,_none_
8,15.398,596.932,158.19899999999996,752,0.8270000000000001,158.936,32.451,0.374,wt,0,_none_
9,16.166,596.9680000000002,62.745,758,0.8140000000000001,191.907,31.7,0.259,wt,0,_none_
10,16.444000000000006,595.64,54.293,762,0.805,189.664,32.236,0.266,wt,0,_none_
11,17.596,594.469,131.987,784,0.7759999999999999,202.049,33.418,0.241,wt,0,_none_
12,18.261,594.122,45.0,767,0.784,196.149,32.62,0.251,wt,0,_none_
13,18.23,592.631,121.504,766,0.8109999999999999,178.108,31.376,0.303,wt,0,_none_
14,20.069000000000006,591.15,96.34,738,0.8140000000000001,171.765,30.959,0.314,wt,0,_none_
15,18.077,592.349,123.275,749,0.82,184.492,32.761,0.277,wt,0,_none_
16,17.957,590.29,60.06800000000001,771,0.8059999999999999,193.321,32.013000000000005,0.259,wt,0,_none_
17,19.285,589.7819999999998,132.797,759,0.7859999999999999,182.492,32.306,0.28600000000000003,wt,0,_none_
18,18.902,588.479,135.0,772,0.794,200.049,33.342,0.242,wt,0,_none_
19,19.488,587.651,159.274,775,0.76,223.706,32.372,0.195,wt,0,_none_
20,18.823,589.107,130.764,750,0.7829999999999999,180.25,32.157,0.29,wt,0,_none_
21,21.705,587.025,128.66,755,0.765,199.907,31.523000000000003,0.237,wt,0,_none_
22,19.374,585.867,132.879,733,0.8009999999999999,182.593,32.74,0.276,wt,0,_none_
23,18.618,585.6469999999998,57.529,728,0.778,206.877,31.119,0.214,wt,0,_none_
24,18.822,583.265,158.19899999999996,878,0.7440000000000001,234.333,33.951,0.201,wt,0,_none_
25,18.125,585.849,131.055,863,0.794,217.019,35.516,0.23,wt,0,_none_
26,18.557,586.026,7.125,841,0.7490000000000001,248.818,33.334,0.171,wt,0,_none_
27,19.597,584.631,96.34,681,0.8109999999999999,160.108,30.867,0.334,wt,0,_none_
28,18.129,584.8969999999998,123.311,852,0.767,261.99,34.191,0.156,wt,0,_none_
29,18.323,583.92,156.03799999999995,849,0.782,225.262,33.527,0.21,wt,0,_none_
30,18.776,582.349,37.476,736,0.752,199.907,32.064,0.231,wt,0,_none_
31,19.112,582.863,124.992,714,0.8240000000000001,164.93599999999995,31.859,0.33,wt,0,_none_
32,19.521,580.377,173.66,709,0.7709999999999999,209.22,31.494,0.204,wt,0,_none_
33,19.776,578.519,8.13,699,0.8170000000000001,162.35,30.818,0.333,wt,0,_none_
34,18.724,580.619,117.979,722,0.8240000000000001,184.593,31.413,0.266,wt,0,_none_
35,21.356,580.621,17.928,695,0.7829999999999999,178.007,30.58,0.276,wt,0,_none_
36,19.144,579.6759999999998,75.256,790,0.7609999999999999,201.907,32.243,0.244,wt,0,_none_
37,20.188,577.173,37.185,740,0.7879999999999999,208.635,31.634,0.214,wt,0,_none_
38,21.253,575.56,4.635,716,0.7859999999999999,209.12,31.529,0.206,wt,0,_none_
39,21.425,573.155,20.925,721,0.8009999999999999,191.563,31.84,0.247,wt,0,_none_
40,20.672,573.761,132.797,690,0.7829999999999999,178.49200000000005,30.532,0.272,wt,0,_none_
41,19.21,574.592,155.556,703,0.8059999999999999,168.108,31.486,0.313,wt,0,_none_
42,20.317,573.494,15.524,714,0.7759999999999999,195.563,31.616,0.235,wt,0,_none_
43,18.524,576.262,128.884,836,0.7709999999999999,225.362,33.538000000000004,0.207,wt,0,_none_
44,18.405,575.4,176.90599999999995,788,0.794,194.735,32.193000000000005,0.261,wt,0,_none_
45,21.09,571.4780000000002,106.557,775,0.76,212.777,32.158,0.215,wt,0,_none_
46,18.476,574.059,117.824,829,0.797,215.019,33.867,0.225,wt,0,_none_
47,18.254,575.592,61.504,818,0.78,192.492,33.902,0.277,wt,0,_none_
48,19.618,574.765,134.029,808,0.763,222.877,33.225,0.204,wt,0,_none_
49,18.393,574.643,52.00100000000001,820,0.7759999999999999,235.605,34.053000000000004,0.18600000000000005,wt,0,_none_
50,21.012,573.636,101.004,690,0.775,174.25,30.792,0.28600000000000003,wt,0,_none_
51,19.615,573.52,91.548,714,0.804,183.907,31.211,0.265,wt,0,_none_
52,18.291,572.795,126.254,729,0.7859999999999999,185.321,31.687,0.267,wt,0,_none_
53,22.127,571.181,29.358,708,0.7959999999999999,198.392,30.88,0.226,wt,0,_none_
54,19.934,572.503,110.726,788,0.7659999999999999,219.706,34.107,0.205,wt,0,_none_
55,21.896,571.064,74.745,677,0.8290000000000001,158.55100000000004,30.448,0.338,wt,0,_none_
56,21.638,570.8290000000002,91.507,697,0.777,206.534,31.333,0.205,wt,0,_none_
57,22.12,571.747,72.89699999999998,802,0.745,232.233,34.145,0.187,wt,0,_none_
58,23.861,569.8580000000002,119.197,746,0.767,178.007,32.799,0.29600000000000004,wt,0,_none_
59,22.922,569.266,82.50399999999998,760,0.79,189.664,32.6,0.265,wt,0,_none_
