frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame.1,particle,category,label
1,740.1239999999998,8.577,80.961,612,0.695,198.35,37.723,0.195,1,9,wt,_none_
2,746.067,10.273,83.66,750,0.782,210.593,39.832,0.213,2,9,wt,_none_
3,750.2719999999998,12.42,112.249,938,0.7440000000000001,259.605,41.15,0.175,3,9,wt,_none_
4,754.546,15.550999999999998,124.33,1145,0.835,216.492,42.8,0.307,4,9,wt,_none_
5,755.6389999999999,19.471,120.579,1256,0.764,302.416,42.517,0.173,5,9,wt,_none_
6,754.6510000000002,23.579,155.726,1360,0.722,396.098,45.47,0.109,6,9,wt,_none_
7,758.9019999999998,24.91,19.722,1432,0.7090000000000001,385.955,45.41,0.121,7,9,wt,_none_
8,761.123,29.067,155.225,1476,0.7240000000000001,380.884,44.886,0.128,8,9,wt,_none_
9,761.33,31.044,140.332,1410,0.735,351.42800000000005,44.719,0.14300000000000002,9,9,wt,_none_
10,758.75,32.007,157.797,1273,0.726,336.801,44.355,0.141,10,9,wt,_none_
11,759.0889999999998,35.243,6.981,1209,0.7509999999999999,347.085,41.155,0.126,11,9,wt,_none_
12,757.296,39.001,156.80100000000004,1189,0.754,327.0440000000001,42.54600000000001,0.14,12,9,wt,_none_
13,751.916,37.69,162.216,1393,0.745,399.37,46.563,0.11,13,9,wt,_none_
14,753.7860000000002,42.323,159.326,1460,0.73,416.825,47.018,0.106,14,9,wt,_none_
15,748.637,42.58600000000001,170.87,1461,0.731,367.571,46.858,0.136,15,9,wt,_none_
16,747.062,42.315,168.05599999999995,1194,0.775,306.274,43.122,0.16,16,9,wt,_none_
17,747.1460000000002,44.815,139.899,1154,0.7559999999999999,303.002,40.798,0.158,17,9,wt,_none_
18,746.1360000000002,46.469,176.248,1441,0.721,432.34,48.42,0.097,18,9,wt,_none_
19,744.687,46.962,138.094,1371,0.7609999999999999,326.801,45.427,0.161,19,9,wt,_none_
20,741.171,47.224,6.582000000000002,1270,0.75,310.316,43.503,0.166,20,9,wt,_none_
21,739.529,45.455,174.40099999999995,1188,0.741,319.387,42.012,0.146,21,9,wt,_none_
22,737.7510000000002,40.855,157.989,1233,0.774,290.659,45.894,0.183,22,9,wt,_none_
23,734.293,40.761,137.49,1167,0.748,284.375,41.601000000000006,0.181,23,9,wt,_none_
24,732.559,43.102,154.983,1195,0.7809999999999999,274.375,42.895,0.199,24,9,wt,_none_
25,730.298,43.414,156.94899999999996,1216,0.7659999999999999,310.558,42.557,0.158,25,9,wt,_none_
26,729.294,42.481,151.39,1187,0.733,296.073,41.92,0.17,26,9,wt,_none_
27,726.0369999999998,42.403,10.62,1144,0.8,224.777,42.996,0.285,27,9,wt,_none_
28,721.475,45.476000000000006,166.701,1360,0.73,369.571,45.523,0.125,28,9,wt,_none_
29,723.812,46.264,8.276,1398,0.736,376.056,46.846,0.124,29,9,wt,_none_
30,722.716,44.702,155.821,1383,0.772,341.38699999999994,45.205,0.149,30,9,wt,_none_
31,720.3,39.217,134.145,1140,0.7659999999999999,251.99,42.917,0.226,31,9,wt,_none_
32,720.54,42.142,164.84599999999998,1180,0.769,305.588,42.121,0.159,32,9,wt,_none_
33,719.377,42.275,154.916,1290,0.775,321.144,43.959,0.157,33,9,wt,_none_
34,720.248,41.847,5.29,1303,0.753,288.759,44.056,0.196,34,9,wt,_none_
35,717.449,42.90600000000001,162.89700000000005,1319,0.726,322.316,45.106,0.16,35,9,wt,_none_
36,718.334,41.411,170.91,1197,0.757,318.416,42.793,0.14800000000000002,36,9,wt,_none_
37,718.7280000000002,42.985,15.154000000000002,1197,0.794,279.546,41.416,0.192,37,9,wt,_none_
38,717.273,41.309,161.565,1149,0.7609999999999999,277.789,41.601000000000006,0.187,38,9,wt,_none_
39,715.6560000000002,38.591,151.858,1084,0.758,267.647,41.08600000000001,0.19,39,9,wt,_none_
40,711.954,38.198,150.101,1014,0.8029999999999999,223.362,38.931,0.255,40,9,wt,_none_
