Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	1	ascus;normal;	181	3	+0.000	1	2	0	0	1	1	+10804.322	-0.032	+0.002	+6.934	+135.912	
wt	_seg_0_:1	ascus;normal;	36	0	+0.000	0	0	0	0	1	0	+2160.864	-4.893	-0.001	+0.671	+1.725	
wt	_seg_1_:1	ascus;normal;	96	0	+0.000	1	0	0	0	1	0	+5762.305	+0.299	-0.001	+0.488	+22.643	
wt	_seg_2_:1	ascus;normal;	36	0	+0.000	0	0	0	0	1	0	+2160.864	+5.209	+0.006	+0.334	+6.451	
wt	5	normal;	181	3	+0.000	0	0	0	0	1	0	+10804.322	+0.003	-0.001	+0.980	-234.764	
wt	_seg_0_:5	normal;	84	0	+0.000	0	0	0	0	1	0	+5402.161	-0.089	+0.003	+10.475	+51.316	
wt	_seg_1_:5	normal;	36	0	+0.000	0	0	0	0	1	0	+2160.864	+0.212	-0.001	+2.335	-4.731	
wt	_seg_2_:5	normal;	48	0	+0.000	0	0	0	0	1	0	+2881.152	+0.043	-0.001	+0.689	-0.205	
wt	4	normal;	181	3	+0.134	0	1	0	0	1	1	+10804.322	-0.001	-0.001	+0.754	+84.893	
wt	_seg_0_:4	normal;	40	0	+0.134	0	0	0	0	1	0	+2400.960	+0.073	-0.001	+1.978	-12.960	
wt	_seg_1_:4	normal;	36	0	+0.134	0	0	0	0	1	0	+2160.864	-0.317	-0.001	+0.610	+2.721	
wt	_seg_2_:4	normal;	92	0	+0.134	0	0	0	0	1	0	+5762.305	+0.033	-0.001	+0.873	+0.164	
wt	6	_none_	181	2	+0.000	1	1	0	0	1	0	+10804.322	+0.021	-0.001	+2.296	-63.366	
wt	_seg_0_:6	_none_	36	0	+0.000	0	0	0	0	1	0	+2160.864	+2.003	-0.002	+0.683	+7.609	
wt	_seg_1_:6	_none_	136	0	+0.000	1	1	0	0	1	1	+8103.241	+0.019	-0.001	+0.678	-5.232	
wt	12	ascus;normal;	176	3	+0.000	1	3	0	0	1	1	+10804.322	+0.010	-0.001	+0.652	-18.458	
wt	_seg_0_:12	ascus;normal;	44	0	+0.000	0	0	0	0	1	0	+2701.080	-9.032	-0.002	+0.639	+1.401	
wt	_seg_1_:12	ascus;normal;	40	0	+0.000	0	1	0	0	1	1	+2400.960	-7.239	+0.028	+0.581	+2.799	
wt	_seg_2_:12	ascus;normal;	76	0	+0.000	0	2	0	0	1	1	+4501.801	+0.073	-0.001	+1.591	-5.775	
wt	6	_none_	175	3	+0.028	1	1	0	0	1	0	+10804.322	+0.264	-0.001	+0.374	+37.836	
