Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	1	ascus;normal;	181	3	+0.043	1	2	0	0	1	1	+10804.322	+0.004	-0.001	+0.896	-91.873	
wt	_seg_0_:1	ascus;normal;	36	0	+0.043	0	1	0	0	1	0	+2160.864	+10.078	-0.002	+0.694	+7.604	
wt	_seg_1_:1	ascus;normal;	36	0	+0.043	0	1	0	0	1	1	+2160.864	-0.079	-0.001	+1.403	+21.368	
wt	_seg_2_:1	ascus;normal;	96	0	+0.043	1	0	0	0	1	0	+5762.305	-0.013	-0.001	+0.763	+17.941	
wt	5	normal;	181	1	+0.015	0	1	0	0	1	1	+10804.322	-0.009	-0.001	+0.895	+91.133	
wt	_seg_0_:5	normal;	176	0	+0.015	1	1	0	0	1	1	+10804.322	-0.009	-0.001	+0.889	+84.874	
wt	4	normal;	181	3	+0.300	0	0	0	0	1	0	+10804.322	-0.552	-0.001	+0.408	+2.614	
wt	_seg_0_:4	normal;	68	0	+0.300	0	0	0	0	1	0	+4321.729	+8.902	+0.075	+0.514	+12.530	
wt	_seg_1_:4	normal;	52	0	+0.300	0	0	0	0	1	0	+3241.297	+0.066	-0.001	+0.925	+4.824	
wt	_seg_2_:4	normal;	48	0	+0.300	0	0	0	0	1	0	+2881.152	+0.016	-0.001	+0.933	+5.810	
wt	6	_none_	181	1	+0.014	0	0	0	0	1	0	+10804.322	-0.002	-0.001	+1.086	+440.397	
wt	_seg_0_:6	_none_	176	0	+0.014	0	0	0	0	1	0	+10804.322	+0.011	-0.001	+0.893	-30.517	
wt	12	ascus;normal;	176	3	+0.099	1	3	0	0	1	1	+10804.322	+0.088	-0.001	+0.702	+24.068	
wt	_seg_0_:12	ascus;normal;	40	0	+0.099	0	0	0	0	1	0	+2400.960	-0.371	-0.001	+1.286	+7.165	
wt	_seg_1_:12	ascus;normal;	80	0	+0.099	2	2	0	0	1	0	+4801.921	-0.145	-0.001	+0.714	+2.155	
wt	_seg_2_:12	ascus;normal;	40	0	+0.099	1	0	0	0	1	1	+2400.960	+0.083	-0.001	+2.021	-10.120	
wt	6	_none_	175	3	+0.006	0	1	0	0	1	1	+10804.322	+0.014	-0.001	+1.384	-62.405	
wt	_seg_0_:6	_none_	52	0	+0.006	1	0	0	0	1	0	+3241.297	+0.014	-0.001	+1.095	+12.025	
wt	_seg_1_:6	_none_	44	0	+0.006	4	0	0	0	1	1	+2701.080	-0.497	-0.001	+0.728	+6.447	
