Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	1	ascus;normal;	181	2	+0.000	1	2	0	0	1	1	+158.887	+0.075	+0.017	+1.662	-10.190	
wt	_seg_0_:1	ascus;normal;	84	0	+0.000	0	3	0	0	1	1	+158.887	+0.130	+0.003	+7.628	-16.709	
wt	_seg_1_:1	ascus;normal;	88	0	+0.000	1	1	0	0	1	1	+122.776	+0.009	-0.001	+0.599	-93.165	
wt	5	normal;	181	1	+0.028	2	2	0	0	1	1	+120.048	+0.002	-0.001	+0.668	-23.975	
wt	_seg_0_:5	normal;	176	0	+0.028	0	1	0	0	1	1	+120.048	-0.008	-0.001	+1.384	+99.112	
wt	4	normal;	181	2	+0.568	2	1	0	0	1	1	+130.173	+0.009	-0.001	+0.941	+9.371	
wt	_seg_0_:4	normal;	40	0	+0.568	0	0	0	0	1	0	+133.387	-0.155	-0.000	+7.951	+24.138	
wt	_seg_1_:4	normal;	132	0	+0.568	0	2	0	0	1	1	+144.701	-0.004	-0.001	+0.791	-6.001	
wt	6	_none_	181	3	+0.002	1	5	0	0	1	1	+144.058	+0.000	-0.001	+0.609	+93.146	
wt	_seg_0_:6	_none_	36	0	+0.002	0	0	0	0	1	0	+120.048	+10.085	-0.001	+0.603	+5.922	
wt	_seg_1_:6	_none_	36	0	+0.002	0	1	0	0	1	1	+120.048	-0.070	-0.001	+3.232	+24.794	
wt	_seg_2_:6	_none_	96	0	+0.002	1	1	0	0	1	1	+144.058	+5.533	+0.056	+0.358	+18.603	
wt	12	ascus;normal;	176	3	+0.101	2	2	0	0	1	1	+161.259	+0.123	-0.001	+0.570	+27.648	
wt	_seg_0_:12	ascus;normal;	48	0	+0.101	0	1	0	0	1	1	+160.064	-5.930	+0.001	+0.490	+2.148	
wt	_seg_1_:12	ascus;normal;	68	0	+0.101	1	1	0	0	1	0	+187.901	+0.054	-0.001	+0.824	+1.151	
wt	_seg_2_:12	ascus;normal;	44	0	+0.101	1	0	0	0	1	0	+158.887	+0.011	-0.001	+0.780	+9.245	
