Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	1	ascus;normal;	181	2	+0.000	1	2	0	0	1	1	+161.259	+0.084	+0.004	+4.485	-20.912	
wt	_seg_0_:1	ascus;normal;	40	0	+0.000	0	3	0	0	1	1	+160.064	+0.853	-0.001	+0.612	+7.515	
wt	_seg_1_:1	ascus;normal;	132	0	+0.000	0	2	0	0	1	1	+207.775	+4.145	+0.019	+0.199	+21.017	
wt	5	normal;	181	2	+0.001	0	2	0	0	1	1	+148.004	+0.002	-0.001	+0.645	-116.503	
wt	_seg_0_:5	normal;	136	0	+0.001	0	1	0	0	1	1	+147.332	+0.020	-0.001	+0.924	+2.312	
wt	_seg_1_:5	normal;	36	0	+0.001	0	2	0	0	1	0	+240.096	-0.167	-0.000	+7.917	+21.616	
wt	4	normal;	181	2	+0.001	0	1	0	0	1	1	+133.387	+0.162	-0.001	+0.338	+43.324	
wt	_seg_0_:4	normal;	124	0	+0.001	0	1	0	0	1	1	+123.000	-0.021	-0.001	+0.452	-18.652	
wt	_seg_1_:4	normal;	48	0	+0.001	0	2	0	0	1	1	+288.115	-0.003	-0.001	+0.541	+0.421	
wt	6	_none_	181	2	+0.010	0	2	0	0	1	1	+171.497	-0.002	-0.001	+0.472	-368.251	
wt	_seg_0_:6	_none_	48	0	+0.010	0	1	0	0	1	1	+192.077	+0.143	+0.003	+10.413	-19.367	
wt	_seg_1_:6	_none_	124	0	+0.010	1	1	0	0	1	1	+121.016	+0.003	-0.001	+0.763	+34.411	
wt	12	ascus;normal;	176	3	+0.029	1	2	0	0	1	1	+161.259	+0.535	+0.032	+0.598	+29.699	
wt	_seg_0_:12	ascus;normal;	48	0	+0.029	0	1	0	0	1	1	+160.064	-0.285	-0.001	+0.958	+4.126	
wt	_seg_1_:12	ascus;normal;	60	0	+0.029	0	1	0	0	1	1	+189.550	+0.018	-0.001	+0.780	+3.721	
wt	_seg_2_:12	ascus;normal;	52	0	+0.029	0	0	0	0	1	1	+294.663	+0.186	+0.006	+11.344	-14.041	
wt	6	_none_	175	3	+0.000	0	2	0	0	1	1	+122.776	+0.013	-0.001	+2.020	-134.269	
wt	_seg_0_:6	_none_	36	0	+0.000	0	0	0	0	1	1	+120.048	-0.109	-0.001	+3.341	+21.096	
wt	_seg_1_:6	_none_	56	0	+0.000	1	0	0	0	1	0	+124.188	-0.101	-0.001	+4.762	+32.070	
wt	_seg_2_:6	_none_	68	0	+0.000	0	1	0	0	1	1	+172.869	+1.095	-0.001	+0.318	+13.513	
wt	10	_none_	178	2	+0.003	0	1	0	0	1	1	+136.764	-0.020	-0.001	+1.320	+88.221	
wt	_seg_0_:10	_none_	132	0	+0.003	0	1	0	0	1	1	+137.343	-0.011	-0.001	+0.879	+18.267	
wt	_seg_1_:10	_none_	36	0	+0.003	0	0	0	0	1	0	+135.054	+0.424	-0.001	+0.763	+4.918	
wt	17	normal;	181	3	+0.001	0	2	0	0	1	1	+128.623	+0.008	-0.001	+1.201	-101.195	
wt	_seg_0_:17	normal;	48	0	+0.001	0	1	0	0	1	1	+120.048	-0.056	-0.001	+3.908	+47.476	
wt	_seg_1_:17	normal;	52	0	+0.001	2	0	0	0	1	1	+216.086	-0.219	-0.001	+0.652	+4.256	
wt	_seg_2_:17	normal;	68	0	+0.001	0	2	0	0	1	1	+196.442	-0.294	-0.001	+0.488	-0.883	
wt	116	_none_	175	3	+0.000	0	2	0	0	1	1	+180.072	-0.105	-0.001	+0.362	+6.169	
wt	_seg_0_:116	_none_	68	0	+0.000	2	1	0	0	1	1	+196.442	+0.469	-0.001	+0.484	+13.121	
wt	_seg_1_:116	_none_	56	0	+0.000	0	1	0	0	1	1	+180.072	+0.075	-0.001	+1.853	-14.762	
wt	_seg_2_:116	_none_	36	0	+0.000	0	1	0	0	1	1	+154.347	+1.060	-0.001	+0.743	+4.936	
wt	4	_none_	179	3	+0.004	2	1	0	0	1	1	+161.259	+0.022	-0.001	+1.670	-43.462	
wt	_seg_0_:4	_none_	40	0	+0.004	0	0	0	0	1	0	+160.064	+0.069	-0.001	+2.556	-15.616	
wt	_seg_1_:4	_none_	88	0	+0.004	0	2	0	0	1	1	+225.090	-0.031	-0.001	+2.301	+68.848	
wt	_seg_2_:4	_none_	36	0	+0.004	0	1	0	0	1	1	+216.086	-9.663	-0.003	+0.674	+1.350	
wt	7	normal;	181	2	+0.000	1	1	0	0	1	1	+154.347	-7.797	+0.060	+0.357	+29.353	
wt	_seg_0_:7	normal;	100	0	+0.000	1	1	0	0	1	1	+181.891	-0.006	-0.001	+0.949	+25.559	
wt	_seg_1_:7	normal;	72	0	+0.000	1	0	0	0	1	0	+154.347	-0.016	-0.001	+0.730	+19.379	
wt	16	ascus;normal;	181	3	+0.000	2	3	0	0	1	1	+183.124	+0.192	+0.013	+0.695	+16.475	
wt	_seg_0_:16	ascus;normal;	52	0	+0.000	3	0	0	0	1	0	+180.072	+0.070	-0.001	+0.950	+9.679	
wt	_seg_1_:16	ascus;normal;	36	0	+0.000	2	0	0	0	1	1	+270.108	+0.280	-0.001	+0.907	+4.481	
wt	_seg_2_:16	ascus;normal;	80	0	+0.000	0	0	0	0	1	1	+228.663	-0.008	-0.001	+0.417	+70.911	
wt	20	normal;	181	2	+0.017	0	2	0	0	1	1	+156.584	+0.024	-0.001	+4.388	-74.014	
wt	_seg_0_:20	normal;	36	0	+0.017	0	0	0	0	1	0	+144.058	+0.227	-0.001	+1.178	+3.453	
wt	_seg_1_:20	normal;	136	0	+0.017	1	1	0	0	1	1	+158.887	-0.006	-0.001	+0.814	+31.886	
wt	1	normal;	181	1	+0.000	0	2	0	0	1	1	+140.316	+0.000	-0.001	+1.001	-51439.320	
wt	_seg_0_:1	normal;	176	0	+0.000	1	3	0	0	1	1	+240.096	-0.008	-0.001	+1.421	+199.586	
wt	3	_none_	181	3	+0.000	2	0	0	0	1	1	+163.702	+0.004	-0.001	+0.723	-65.902	
wt	_seg_0_:3	_none_	84	0	+0.000	0	1	0	0	1	1	+174.263	+0.001	-0.001	+0.421	+912.156	
