Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	1	ascus;normal;	181	2	+0.000	5	0	0	0	1	1	+203.855	+0.184	+0.059	+18.651	-17.677	
wt	_seg_0_:1	ascus;normal;	36	0	+0.000	0	1	0	0	1	0	+196.442	+0.469	-0.001	+0.890	+2.738	
wt	_seg_1_:1	ascus;normal;	136	0	+0.000	0	0	0	0	1	1	+120.944	+2.907	+0.012	+0.136	+22.549	
wt	5	normal;	181	2	+0.346	2	1	0	0	1	1	+125.632	+0.008	-0.001	+0.915	-8.014	
wt	_seg_0_:5	normal;	80	0	+0.346	0	1	0	0	1	1	+145.513	+0.017	-0.001	+1.920	-60.774	
wt	_seg_1_:5	normal;	92	0	+0.346	0	3	0	0	1	1	+125.267	+0.019	-0.001	+0.930	+5.263	
wt	4	normal;	181	1	+0.002	0	2	0	0	1	1	+144.058	+0.006	-0.001	+3.296	-379.562	
wt	_seg_0_:4	normal;	176	0	+0.002	0	3	0	0	1	1	+144.058	+0.200	-0.002	+0.334	+44.531	
wt	6	_none_	181	2	+0.000	2	3	0	0	1	1	+144.058	-0.004	-0.001	+0.496	-63.183	
wt	_seg_0_:6	_none_	72	0	+0.000	0	1	0	0	1	1	+205.797	+1.348	+0.094	+18.523	-1.212	
wt	_seg_1_:6	_none_	100	0	+0.000	1	1	0	0	1	1	+142.914	+0.051	-0.001	+0.956	+6.066	
wt	12	ascus;normal;	176	2	+0.324	5	1	0	0	1	1	+327.404	+0.190	-0.001	+0.569	+31.968	
wt	_seg_0_:12	ascus;normal;	112	0	+0.324	4	0	0	0	1	1	+327.404	+0.184	-0.001	+0.346	+24.113	
wt	_seg_1_:12	ascus;normal;	52	0	+0.324	0	0	0	0	1	0	+294.663	+0.392	+0.022	+17.547	-6.774	
wt	6	_none_	175	2	+0.000	1	3	0	0	1	1	+196.442	-0.107	-0.001	+0.289	+0.513	
wt	_seg_0_:6	_none_	128	0	+0.000	0	2	0	0	1	1	+197.002	-0.110	-0.001	+0.328	+5.863	
wt	_seg_1_:6	_none_	36	0	+0.000	0	0	0	0	1	1	+120.048	+6.718	+0.092	+1.001	+2.716	
wt	10	_none_	178	2	+0.000	0	1	0	0	1	1	+196.442	-0.054	-0.001	+0.390	+6.430	
wt	_seg_0_:10	_none_	128	0	+0.000	0	2	0	0	1	1	+197.002	-0.200	-0.001	+0.404	+0.851	
wt	_seg_1_:10	_none_	40	0	+0.000	0	1	0	0	1	1	+120.048	+10.552	+0.000	+0.752	+4.823	
wt	17	normal;	181	3	+0.000	2	1	0	0	1	1	+196.442	-0.006	-0.001	+0.885	+196.926	
wt	_seg_0_:17	normal;	40	0	+0.000	0	1	0	0	1	1	+120.048	+0.126	-0.001	+0.926	+0.553	
wt	_seg_1_:17	normal;	76	0	+0.000	1	2	0	0	1	1	+204.627	-0.245	-0.001	+0.315	-0.254	
wt	_seg_2_:17	normal;	52	0	+0.000	0	0	0	0	1	1	+154.347	+9.997	+0.080	+0.616	+7.852	
wt	116	_none_	175	1	+0.000	1	3	0	0	1	1	+163.702	-0.015	-0.001	+2.966	+192.433	
wt	_seg_0_:116	_none_	168	0	+0.000	2	1	0	0	1	1	+163.702	-0.158	-0.001	+0.298	+6.856	
wt	4	_none_	179	3	+0.001	3	2	0	0	1	1	+270.108	+0.044	-0.001	+0.927	+0.136	
wt	_seg_0_:4	_none_	92	0	+0.001	2	1	0	0	1	1	+274.395	+0.052	-0.000	+4.810	-40.069	
wt	_seg_1_:4	_none_	36	0	+0.001	0	0	0	0	1	1	+196.442	-0.037	-0.001	+0.686	-1.147	
wt	_seg_2_:4	_none_	36	0	+0.001	0	0	0	0	1	1	+120.048	+0.086	-0.001	+1.813	-7.407	
wt	7	normal;	181	2	+0.000	1	0	0	0	1	0	+154.347	-0.086	-0.001	+0.431	+24.882	
wt	_seg_0_:7	normal;	104	0	+0.000	1	1	0	0	1	1	+270.108	+0.018	-0.001	+1.581	-51.928	
wt	_seg_1_:7	normal;	68	0	+0.000	1	0	0	0	1	0	+180.072	+0.024	-0.001	+3.517	-81.102	
wt	16	ascus;normal;	181	2	+0.001	2	1	0	0	1	1	+120.048	+0.050	+0.003	+12.710	-52.696	
wt	_seg_0_:16	ascus;normal;	36	0	+0.001	2	2	0	0	1	0	+360.144	+0.373	-0.001	+1.182	+4.060	
wt	_seg_1_:16	ascus;normal;	136	0	+0.001	0	0	0	0	1	1	+578.803	+0.047	-0.001	+0.896	+1.987	
wt	20	normal;	181	3	+0.001	0	2	0	0	1	1	+138.517	+0.018	-0.001	+1.728	-54.205	
wt	_seg_0_:20	normal;	36	0	+0.001	0	0	0	0	1	0	+135.054	+0.296	-0.001	+1.955	+0.206	
wt	_seg_1_:20	normal;	68	0	+0.001	1	1	0	0	1	1	+205.797	+0.075	-0.001	+0.791	+0.645	
wt	_seg_2_:20	normal;	64	0	+0.001	0	1	0	0	1	1	+160.064	+0.068	-0.001	+3.498	-23.578	
wt	1	normal;	181	2	+0.000	2	2	0	0	1	1	+163.702	+0.173	-0.001	+0.349	+38.667	
wt	_seg_0_:1	normal;	128	0	+0.000	1	1	0	0	1	1	+163.470	+0.001	-0.001	+0.654	+70.807	
wt	_seg_1_:1	normal;	44	0	+0.000	0	1	0	0	1	1	+128.623	-0.143	+0.000	+8.973	+27.503	
wt	3	_none_	181	3	+0.000	2	1	0	0	1	1	+183.124	-0.004	-0.001	+0.608	+152.158	
wt	_seg_0_:3	_none_	80	0	+0.000	1	0	0	0	1	1	+141.233	-5.319	+0.034	+0.581	+4.185	
wt	_seg_1_:3	_none_	48	0	+0.000	0	1	0	0	1	0	+192.077	+0.207	-0.001	+0.817	+7.008	
wt	_seg_2_:3	_none_	40	0	+0.000	0	0	0	0	1	1	+133.387	-0.999	-0.001	+0.380	+2.982	
wt	4	normal;	181	3	+0.000	2	2	0	0	1	1	+166.220	+3.644	+0.090	+0.325	+31.767	
wt	_seg_0_:4	normal;	72	0	+0.000	0	1	0	0	1	1	+154.347	+0.495	-0.001	+0.288	+15.984	
wt	_seg_1_:4	normal;	36	0	+0.000	0	1	0	0	1	0	+166.220	-12.403	+0.003	+0.555	+2.403	
wt	_seg_2_:4	normal;	60	0	+0.000	0	1	0	0	1	1	+240.096	+4.373	+0.127	+7.467	+0.542	
wt	6	_none_	181	1	+0.001	0	2	0	0	1	1	+148.004	+0.007	-0.001	+0.819	-13.399	
wt	_seg_0_:6	_none_	176	0	+0.001	1	1	0	0	1	1	+148.004	+0.002	-0.001	+1.957	-705.919	
wt	7	_none_	181	3	+0.000	0	1	0	0	1	1	+166.220	+0.951	+0.021	+0.185	+30.873	
wt	_seg_0_:7	_none_	60	0	+0.000	1	0	0	0	1	1	+120.048	+0.030	-0.001	+0.611	-5.545	
wt	_seg_1_:7	_none_	40	0	+0.000	0	0	0	0	1	0	+184.689	-3.232	-0.001	+0.392	+1.816	
wt	_seg_2_:7	_none_	68	0	+0.000	0	2	0	0	1	1	+240.096	+0.078	-0.001	+0.842	-0.512	
wt	11	_none_	181	2	+0.000	0	2	0	0	1	1	+166.220	+2.955	+0.068	+0.267	+32.139	
wt	_seg_0_:11	_none_	116	0	+0.000	0	1	0	0	1	1	+171.497	-0.042	-0.000	+4.870	+85.821	
wt	_seg_1_:11	_none_	56	0	+0.000	1	0	0	0	1	1	+200.080	+0.074	-0.001	+1.222	-3.405	
wt	22	normal;	181	1	+0.000	0	2	0	0	1	1	+192.934	+1.021	+0.045	+0.314	+34.718	
wt	_seg_0_:22	normal;	176	0	+0.000	3	3	0	0	1	1	+192.934	+1.083	+0.034	+0.311	+33.887	
wt	23	_none_	181	3	+0.000	0	2	0	0	1	1	+166.220	+0.009	-0.001	+0.710	-46.967	
wt	_seg_0_:23	_none_	80	0	+0.000	0	1	0	0	1	1	+120.048	-0.003	-0.001	+0.777	+78.097	
wt	_seg_1_:23	_none_	40	0	+0.000	1	1	0	0	1	0	+171.497	+8.725	+0.033	+0.586	+5.928	
