Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	1	ascus;normal;	181	2	+0.000	2	2	0	0	1	1	+360.144	+0.165	+0.065	+2.809	-4.754	
wt	_seg_0_:1	ascus;normal;	36	0	+0.000	0	0	0	0	1	1	+360.144	+0.288	+0.002	+11.415	-7.073	
wt	_seg_1_:1	ascus;normal;	136	0	+0.000	1	1	0	0	1	1	+2025.810	+0.002	-0.001	+0.339	-115.095	
wt	5	normal;	181	3	+0.293	1	3	0	0	1	2	+125.632	+0.006	-0.001	+0.945	+21.397	
wt	_seg_0_:5	normal;	36	0	+0.293	1	0	0	0	1	1	+120.048	+13.398	+0.070	+0.693	+5.547	
wt	_seg_1_:5	normal;	36	0	+0.293	0	1	0	0	1	1	+180.072	+0.040	-0.001	+0.784	-3.489	
wt	_seg_2_:5	normal;	96	0	+0.293	1	0	0	0	1	1	+122.602	+0.019	-0.001	+2.074	-37.489	
wt	4	normal;	181	1	+0.518	1	4	0	0	1	2	+146.004	+0.012	-0.001	+1.006	+16.113	
wt	_seg_0_:4	normal;	176	0	+0.518	2	2	0	0	1	2	+146.004	+0.012	-0.001	+1.009	+17.741	
wt	6	_none_	181	3	+0.429	1	1	0	0	1	2	+263.520	-0.005	-0.001	+0.950	-10.614	
wt	_seg_0_:6	_none_	56	0	+0.429	0	1	0	0	1	1	+144.058	+0.901	-0.001	+0.511	+10.951	
wt	_seg_1_:6	_none_	56	0	+0.429	0	0	0	0	1	1	+257.246	-0.020	-0.001	+0.851	+11.909	
wt	_seg_2_:6	_none_	56	0	+0.429	1	0	0	0	1	0	+163.702	+8.833	-0.002	+0.667	+11.727	
wt	12	ascus;normal;	176	2	+0.001	4	0	0	0	1	1	+161.259	+0.285	+0.001	+0.440	+27.689	
wt	_seg_0_:12	ascus;normal;	80	0	+0.001	2	1	0	0	1	1	+160.064	-5.621	+0.052	+0.362	+6.310	
wt	_seg_1_:12	ascus;normal;	84	0	+0.001	0	3	0	0	1	1	+415.551	+2.939	+0.075	+0.492	+7.368	
wt	6	_none_	175	3	+0.570	2	1	0	0	1	2	+140.316	-0.005	-0.001	+0.764	-28.248	
wt	_seg_0_:6	_none_	56	0	+0.570	2	2	0	0	1	1	+171.497	-0.021	-0.001	+0.988	+6.205	
wt	_seg_1_:6	_none_	64	0	+0.570	0	2	0	0	1	1	+192.077	+0.544	-0.001	+0.477	+14.288	
wt	_seg_2_:6	_none_	40	0	+0.570	1	0	0	0	1	0	+141.233	+8.527	-0.003	+0.583	+8.663	
wt	10	_none_	178	3	+0.491	3	0	0	0	1	1	+225.090	+0.001	-0.001	+0.852	+40.082	
wt	_seg_0_:10	_none_	36	0	+0.491	0	1	0	0	1	1	+216.086	-2.742	-0.001	+0.625	+1.474	
wt	_seg_1_:10	_none_	52	0	+0.491	0	1	0	0	1	1	+147.332	-0.529	-0.001	+0.581	+2.048	
wt	_seg_2_:10	_none_	76	0	+0.491	2	2	0	0	1	1	+264.812	-0.021	-0.001	+0.803	+15.649	
wt	17	normal;	181	2	+0.673	2	2	0	0	1	2	+400.160	+0.009	-0.001	+1.218	-57.236	
wt	_seg_0_:17	normal;	84	0	+0.673	0	0	0	0	1	1	+225.090	-0.035	-0.001	+4.167	+72.126	
wt	_seg_1_:17	normal;	88	0	+0.673	0	2	0	0	1	1	+186.281	-0.020	-0.001	+1.382	+50.447	
wt	116	_none_	175	2	+0.060	0	2	0	0	1	1	+152.174	-0.022	+0.000	+8.876	+158.651	
wt	_seg_0_:116	_none_	116	0	+0.060	2	2	0	0	1	1	+153.253	+0.031	-0.000	+3.662	-57.877	
wt	_seg_1_:116	_none_	48	0	+0.060	2	0	0	0	1	0	+221.627	+0.093	-0.001	+7.045	-19.158	
wt	4	_none_	179	2	+0.286	2	2	0	0	1	2	+140.316	+0.012	-0.001	+1.287	-8.695	
wt	_seg_0_:4	_none_	132	0	+0.286	0	2	0	0	1	1	+120.944	-0.008	-0.001	+1.082	+8.317	
wt	_seg_1_:4	_none_	36	0	+0.286	1	0	0	0	1	0	+154.347	-8.524	+0.035	+0.428	+3.668	
wt	7	normal;	181	2	+0.000	0	1	0	0	1	1	+152.174	-0.072	-0.001	+0.648	+39.854	
wt	_seg_0_:7	normal;	108	0	+0.000	4	0	0	0	1	1	+120.048	+0.010	-0.001	+1.565	-34.353	
wt	_seg_1_:7	normal;	64	0	+0.000	0	1	0	0	1	1	+153.661	+0.013	-0.001	+1.318	-74.721	
wt	16	ascus;normal;	181	2	+0.000	2	5	0	0	1	1	+372.563	+0.160	+0.005	+0.898	+11.770	
wt	_seg_0_:16	ascus;normal;	96	0	+0.000	2	1	0	0	1	1	+384.154	+0.140	-0.001	+1.152	+7.083	
wt	_seg_1_:16	ascus;normal;	76	0	+0.000	1	1	0	0	1	1	+4501.801	-0.600	-0.001	+0.207	+4.241	
wt	20	normal;	181	2	+0.107	2	2	0	0	1	2	+225.090	+0.021	-0.001	+1.009	+0.566	
wt	_seg_0_:20	normal;	36	0	+0.107	0	1	0	0	1	1	+216.086	-0.129	-0.001	+7.492	+25.029	
wt	_seg_1_:20	normal;	136	0	+0.107	1	1	0	0	1	1	+270.108	+0.011	-0.001	+0.771	+0.821	
wt	1	normal;	181	2	+0.034	2	1	0	0	1	2	+124.188	+0.023	-0.000	+3.763	-78.585	
wt	_seg_0_:1	normal;	44	0	+0.034	0	0	0	0	1	1	+122.776	+0.176	-0.001	+1.868	-2.916	
wt	_seg_1_:1	normal;	128	0	+0.034	0	1	0	0	1	1	+150.648	-0.150	-0.001	+0.400	-0.593	
wt	3	_none_	181	3	+0.722	1	1	0	0	1	1	+128.623	-0.129	-0.001	+0.525	-0.952	
wt	_seg_0_:3	_none_	64	0	+0.722	0	0	0	0	1	1	+182.930	+0.061	-0.001	+0.934	+8.465	
wt	_seg_1_:3	_none_	40	0	+0.722	0	1	0	0	1	0	+342.994	-0.432	-0.001	+0.601	+5.357	
wt	_seg_2_:3	_none_	64	0	+0.722	0	1	0	0	1	1	+153.661	-0.008	-0.001	+0.989	+7.808	
wt	4	normal;	181	1	+0.082	1	2	0	0	1	2	+225.090	+0.004	-0.001	+0.585	+87.968	
wt	_seg_0_:4	normal;	176	0	+0.082	3	1	0	0	1	2	+225.090	-0.004	-0.001	+0.712	+60.195	
wt	6	_none_	181	2	+0.009	3	2	0	0	1	2	+124.188	+0.008	-0.001	+1.984	-174.312	
wt	_seg_0_:6	_none_	36	0	+0.009	0	1	0	0	1	1	+120.048	+0.197	-0.001	+5.308	-9.548	
wt	_seg_1_:6	_none_	136	0	+0.009	0	2	0	0	1	1	+180.072	-0.016	-0.001	+0.803	+50.567	
wt	7	_none_	181	2	+0.001	0	2	0	0	1	1	+284.324	+0.037	+0.001	+8.064	-64.797	
wt	_seg_0_:7	_none_	88	0	+0.001	0	0	0	0	1	1	+245.553	+0.033	-0.001	+3.500	-49.344	
wt	_seg_1_:7	_none_	84	0	+0.001	1	3	0	0	1	1	+284.324	+0.028	-0.001	+1.580	-28.467	
wt	11	_none_	181	3	+0.237	0	2	0	0	1	1	+292.009	-0.007	-0.001	+0.910	+65.152	
