Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	1	ascus;normal;	181	2	+0.000	5	0	0	0	1	1	+308.695	+0.316	+0.019	+1.269	+5.144	
wt	_seg_0_:1	ascus;normal;	44	0	+0.000	3	0	0	0	1	1	+300.120	+0.247	-0.001	+4.475	-3.790	
wt	_seg_1_:1	ascus;normal;	128	0	+0.000	1	1	0	0	1	1	+2561.024	+0.237	-0.001	+0.136	+24.524	
wt	5	normal;	181	1	+0.013	3	0	0	0	1	1	+174.263	-0.006	-0.001	+1.299	+214.431	
wt	_seg_0_:5	normal;	176	0	+0.013	2	1	0	0	1	1	+174.263	-0.003	-0.001	+0.983	+144.054	
wt	4	normal;	181	1	+0.463	4	1	0	0	1	1	+180.072	-0.005	-0.001	+1.008	+26.970	
wt	_seg_0_:4	normal;	176	0	+0.463	0	2	0	0	1	1	+180.072	-0.009	-0.001	+0.979	+20.681	
wt	6	_none_	181	1	+0.049	5	0	0	0	1	1	+284.324	+0.009	-0.001	+1.388	-113.835	
wt	_seg_0_:6	_none_	176	0	+0.049	2	1	0	0	1	1	+284.324	+0.007	-0.001	+1.500	-155.449	
wt	12	ascus;normal;	176	3	+0.000	3	3	0	0	1	1	+327.404	+0.559	-0.001	+0.741	+29.564	
wt	_seg_0_:12	ascus;normal;	40	0	+0.000	3	0	0	0	1	0	+342.994	-0.490	-0.001	+1.060	+5.223	
wt	_seg_1_:12	ascus;normal;	52	0	+0.000	2	2	0	0	1	0	+324.130	-0.013	-0.001	+4.788	+170.205	
wt	_seg_2_:12	ascus;normal;	68	0	+0.000	2	0	0	0	1	0	+432.173	+1.353	+0.006	+0.830	+5.358	
wt	6	_none_	175	2	+0.054	2	1	0	0	1	1	+200.080	+0.027	-0.000	+3.918	-66.107	
wt	_seg_0_:6	_none_	72	0	+0.054	0	1	0	0	1	1	+196.442	+0.031	-0.001	+1.114	-4.971	
wt	_seg_1_:6	_none_	92	0	+0.054	1	0	0	0	1	0	+151.640	+0.292	-0.001	+0.317	+21.629	
wt	10	_none_	178	3	+0.145	2	3	0	0	1	2	+284.324	-0.009	-0.001	+0.870	+37.327	
wt	_seg_0_:10	_none_	56	0	+0.145	2	1	0	0	1	2	+225.090	+0.125	-0.001	+6.762	-14.158	
wt	_seg_1_:10	_none_	44	0	+0.145	0	0	0	0	1	1	+192.934	+0.000	-0.001	+0.898	+4.799	
wt	_seg_2_:10	_none_	64	0	+0.145	0	0	0	0	1	1	+274.395	+0.037	-0.001	+4.017	-46.182	
wt	17	normal;	181	2	+0.007	0	1	0	0	1	2	+168.818	+0.014	-0.001	+0.921	-3.299	
wt	_seg_0_:17	normal;	104	0	+0.007	1	1	0	0	1	1	+129.652	-0.030	-0.001	+4.172	+88.359	
wt	_seg_1_:17	normal;	68	0	+0.007	0	2	0	0	1	1	+240.096	-0.718	-0.001	+0.458	+3.555	
wt	116	_none_	175	1	+0.087	2	0	0	0	1	1	+156.584	-0.012	-0.001	+2.672	+160.785	
wt	_seg_0_:116	_none_	168	0	+0.087	1	1	0	0	1	1	+156.584	-0.015	-0.001	+0.990	+47.888	
wt	4	_none_	179	1	+0.004	1	3	0	0	1	1	+140.316	+0.002	-0.001	+0.749	-215.357	
wt	_seg_0_:4	_none_	172	0	+0.004	2	2	0	0	1	1	+140.316	-0.001	-0.001	+0.515	-376.569	
wt	7	normal;	181	2	+0.000	0	1	0	0	1	1	+138.517	-6.402	+0.069	+0.381	+29.290	
wt	_seg_0_:7	normal;	96	0	+0.000	0	2	0	0	1	1	+174.615	-0.025	-0.001	+1.008	+29.794	
wt	_seg_1_:7	normal;	76	0	+0.000	1	0	0	0	1	0	+160.779	-0.022	-0.001	+1.574	+69.146	
wt	16	ascus;normal;	181	2	+0.000	4	2	0	0	1	1	+372.563	+0.214	+0.012	+0.877	+14.442	
wt	_seg_0_:16	ascus;normal;	88	0	+0.000	2	0	0	0	1	0	+385.869	+0.176	-0.001	+1.031	+11.365	
wt	_seg_1_:16	ascus;normal;	84	0	+0.000	2	0	0	0	1	1	+2701.080	-7.612	+0.072	+0.331	+11.349	
wt	20	normal;	181	3	+0.010	0	1	0	0	1	1	+138.517	-0.005	-0.001	+0.856	+57.174	
wt	_seg_0_:20	normal;	68	0	+0.010	0	1	0	0	1	1	+130.961	+0.068	-0.000	+1.934	-13.672	
wt	_seg_1_:20	normal;	44	0	+0.010	0	1	0	0	1	0	+168.818	-0.001	-0.001	+1.147	+10.083	
wt	_seg_2_:20	normal;	56	0	+0.010	1	0	0	0	1	0	+138.517	+0.117	-0.001	+6.370	-16.563	
wt	1	normal;	181	2	+0.007	0	1	0	0	1	1	+138.517	+0.025	+0.018	+2.729	-61.000	
wt	_seg_0_:1	normal;	36	0	+0.007	0	1	0	0	1	1	+144.058	+10.887	-0.002	+0.598	+7.645	
wt	_seg_1_:1	normal;	136	0	+0.007	1	1	0	0	1	0	+135.054	-0.012	-0.001	+1.590	+120.259	
wt	3	_none_	181	1	+0.034	0	2	0	0	1	1	+180.072	-0.004	-0.001	+0.818	+52.412	
