frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
1,473.86,522.766,29.959,2601,0.7070000000000001,619.803,110.54299999999999,0.085,1,1
1,676.9989999999999,656.677,36.089,1104,0.727,311.144,38.95,0.14300000000000002,1,5
2,676.799,654.408,32.976,1071,0.732,313.387,41.353,0.13699999999999998,2,5
2,498.702,508.25699999999995,36.333,2218,0.757,428.48199999999997,77.726,0.152,2,1
3,533.735,502.49,38.436,2384,0.8,423.411,78.97399999999999,0.16699999999999998,3,1
3,678.643,655.265,36.921,1114,0.75,257.747,38.417,0.21100000000000002,3,5
4,681.57,655.803,33.859,1172,0.736,344.115,44.071999999999996,0.124,4,5
4,571.187,506.24,39.635,2808,0.772,530.122,90.204,0.126,4,1
5,678.186,654.655,35.28,1059,0.779,235.505,38.218,0.24,5,5
5,586.557,513.184,36.973,3035,0.705,666.087,104.515,0.086,5,1
6,680.0219999999999,653.425,35.368,1109,0.757,306.316,39.924,0.149,6,5
6,581.9209999999999,509.16,39.811,3016,0.7090000000000001,643.845,96.458,0.091,6,1
7,544.5419999999999,498.68300000000005,33.273,2410,0.742,520.021,92.22200000000001,0.11199999999999999,7,1
7,681.529,654.11,34.681999999999995,1099,0.7170000000000001,336.70099999999996,40.346,0.122,7,5
8,680.882,652.9169999999999,36.039,1106,0.773,290.659,39.074,0.165,8,5
8,489.024,505.26099999999997,28.515,2368,0.735,538.021,105.735,0.10300000000000001,8,1
9,486.35400000000004,504.73900000000003,30.624000000000002,2385,0.762,497.73699999999997,99.161,0.121,9,1
9,682.193,652.582,34.900999999999996,1069,0.7659999999999999,260.718,38.998000000000005,0.198,9,5
10,683.0239999999999,651.717,34.510999999999996,1073,0.726,286.17400000000004,39.586999999999996,0.165,10,5
10,502.343,499.457,37.681,2015,0.773,444.34,68.086,0.128,10,1
11,534.966,494.541,29.28,2472,0.7509999999999999,573.72,107.494,0.094,11,1
11,684.296,651.21,34.843,1130,0.737,307.487,41.293,0.15,11,5
12,685.43,650.632,34.524,1084,0.758,285.103,39.978,0.168,12,5
12,582.053,502.004,39.905,3077,0.765,627.318,98.178,0.098,12,1
13,686.221,649.335,35.539,1131,0.747,309.83099999999996,40.52,0.14800000000000002,13,5
13,568.3919999999999,497.48900000000003,44.726000000000006,2678,0.768,496.08,76.237,0.13699999999999998,13,1
14,685.74,648.3380000000001,35.75,1105,0.775,255.546,39.354,0.213,14,5
14,521.2180000000001,498.713,27.884,2477,0.727,576.205,113.103,0.094,14,1
15,688.1160000000001,648.0409999999999,35.496,1163,0.738,337.529,41.717,0.128,15,5
15,476.401,504.074,28.913,2385,0.696,614.8330000000001,105.02600000000001,0.079,15,1
16,685.155,646.375,35.358000000000004,1076,0.746,301.688,38.746,0.149,16,5
16,487.32599999999996,497.35900000000004,35.848,2195,0.7070000000000001,453.311,77.962,0.134,16,1
17,687.607,646.7959999999999,34.628,1085,0.763,275.44599999999997,39.895,0.18,17,5
17,509.82599999999996,498.26,35.104,2151,0.7240000000000001,454.624,78.018,0.131,17,1
18,505.334,495.2,36.851,2241,0.753,464.039,77.429,0.131,18,1
