time,y,x,mass,size,ecc,signal,raw_mass,ep,category,particle
1,11.917,603.9159999999999,12.68,726,0.804,178.208,35.16,0.287,wt,0
1,704.998,527.48,16.39,600,0.7440000000000001,171.52200000000002,29.3,0.256,wt,1
1,726.1339999999999,293.82599999999996,65.056,1183,0.8079999999999999,257.404,40.297,0.22399999999999998,wt,2
1,723.568,611.845,38.66,1037,0.7979999999999999,268.132,38.772,0.18100000000000002,wt,3
1,780.5419999999999,510.985,170.27200000000002,2418,0.759,483.63699999999994,59.536,0.13,wt,5
1,775.015,707.689,156.371,1426,0.782,332.801,45.818999999999996,0.162,wt,6
1,789.367,977.576,97.125,1151,0.787,260.132,41.075,0.214,wt,8
1,807.905,638.184,78.69,738,0.725,242.81799999999998,32.61,0.157,wt,9
1,896.934,618.854,73.85600000000001,760,0.7240000000000001,234.333,33.81,0.174,wt,12
1,969.137,515.25,2.7260000000000004,1852,0.737,416.583,52.79,0.134,wt,16
1,979.622,887.819,55.125,794,0.8029999999999999,185.66400000000002,33.566,0.289,wt,17
1,999.7660000000001,440.093,114.624,1406,0.745,372.156,44.745,0.128,wt,18
1,689.038,773.2810000000001,94.236,1487,0.782,367.81300000000005,46.534,0.138,wt,20
1,672.985,217.34799999999998,135.0,1692,0.79,343.186,49.458,0.18100000000000002,wt,21
1,785.296,829.8439999999999,95.572,900,0.774,219.94799999999998,34.739000000000004,0.23399999999999999,wt,22
1,64.093,515.2090000000001,126.193,1091,0.772,263.889,46.169,0.19699999999999998,wt,24
1,665.048,342.30400000000003,117.646,1133,0.752,305.73,38.215,0.152,wt,25
1,315.268,907.6569999999999,160.346,1015,0.768,252.919,37.484,0.19899999999999998,wt,28
1,311.27,590.325,125.91,732,0.8220000000000001,166.208,31.11,0.33299999999999996,wt,29
1,379.45599999999996,408.88599999999997,108.88600000000001,837,0.7859999999999999,204.392,33.513000000000005,0.252,wt,32
1,391.06699999999995,724.1419999999999,132.274,1167,0.797,297.002,39.153,0.166,wt,33
1,570.268,218.74400000000003,156.80100000000002,1133,0.8009999999999999,269.44599999999997,40.352,0.196,wt,37
2,785.3760000000001,831.2330000000001,109.855,831,0.79,202.877,32.829,0.254,wt,22
2,726.528,293.341,72.719,1123,0.794,251.64700000000002,39.427,0.223,wt,2
2,724.7539999999999,609.94,25.514,1051,0.77,257.30400000000003,38.465,0.19899999999999998,wt,3
2,780.375,511.95,7.431,2367,0.765,457.796,57.613,0.142,wt,5
2,702.6030000000001,525.729,22.109,564,0.758,178.35,29.124000000000002,0.223,wt,1
2,773.341,705.923,146.611,1325,0.768,325.387,43.273,0.157,wt,6
2,791.48,976.242,113.839,1074,0.7809999999999999,262.617,39.834,0.196,wt,8
2,897.306,619.687,81.67399999999999,727,0.745,199.22,34.907,0.23,wt,12
2,969.725,515.28,141.892,1767,0.764,361.914,53.012,0.17,wt,16
2,980.8860000000001,886.795,77.8,767,0.797,192.392,32.071,0.26,wt,17
2,1000.8939999999999,439.189,109.134,1283,0.768,287.58799999999997,43.552,0.195,wt,18
2,690.36,772.6310000000001,97.667,1353,0.782,281.789,43.623000000000005,0.214,wt,20
2,674.143,217.385,152.56,1674,0.794,321.387,49.808,0.204,wt,21
2,316.498,907.184,105.376,954,0.8170000000000001,213.94799999999998,35.494,0.262,wt,28
2,666.4939999999999,342.466,49.398999999999994,1077,0.732,317.144,38.155,0.135,wt,25
2,65.994,515.461,71.96600000000001,1090,0.794,243.40400000000002,41.743,0.231,wt,24
2,312.275,592.255,141.34,739,0.8170000000000001,182.007,32.534,0.28,wt,29
2,381.509,408.858,121.43,849,0.7979999999999999,198.97799999999998,36.238,0.26899999999999996,wt,32
2,11.839,602.273,16.314,722,0.787,188.593,35.538000000000004,0.255,wt,0
